Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-04-20 09:30:00-04:00,413.9200134277344,413.9100036621094,414.67999267578125,413.6600036621094,0.4874089331426035,-0.5677315158958813,1.0551404490384848,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,,
2021-04-20 10:30:00-04:00,411.57501220703125,413.9209899902344,413.92999267578125,411.1199951171875,0.1690772043987181,-0.7088505957118134,0.8779278001105315,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-20 11:30:00-04:00,412.1449890136719,411.57501220703125,412.3999938964844,410.6199951171875,-0.036786566644707364,-0.7317714934041911,0.6949849267594838,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-20 12:30:00-04:00,411.2900085449219,412.1499938964844,412.2200012207031,411.25,-0.265860195976245,-0.768676098188583,0.502815902212338,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-20 13:30:00-04:00,411.5350036621094,411.3096923828125,412.1000061035156,411.20001220703125,-0.422760321335204,-0.7404609788380336,0.31770065750282955,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-20 14:30:00-04:00,411.9049987792969,411.42999267578125,412.0199890136719,410.5899963378906,-0.5113547085350092,-0.663244292830271,0.15188958429526178,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-20 15:30:00-04:00,412.239990234375,411.9049987792969,412.6700134277344,411.79998779296875,-0.5482158962946073,-0.5600843844718952,0.011868488177287959,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-21 09:30:00-04:00,413.989990234375,411.510009765625,414.1000061035156,411.3599853515625,-0.4312471300517018,-0.35449249458319176,-0.07675463546851,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-21 10:30:00-04:00,414.2049865722656,413.9801025390625,414.3399963378906,413.42999267578125,-0.3175397320517277,-0.19262807726657416,-0.12491165478515354,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2021-04-21 11:30:00-04:00,414.5249938964844,414.20001220703125,414.92999267578125,414.1600036621094,-0.19930640311633852,-0.059515798664947966,-0.13979060445139055,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
