,Sell,Hold,Buy
0,1.0134131e-09,1.0,1.5618992e-10
1,2.1670319e-13,1.0,1.3209452e-14
2,2.2197444e-11,1.0,2.6432905e-12
3,1.8178499e-11,1.0,2.0863697e-12
4,4.0806658e-10,1.0,7.469672e-11
5,5.475146e-10,1.0,1.0454901e-10
6,2.3532545e-10,1.0,3.989832e-11
7,1.2495945e-10,1.0,2.0742014e-11
8,4.5460662e-13,1.8256795e-10,1.0
9,3.1249766e-12,1.0,2.0453622e-10
10,5.158479e-12,1.0,2.86941e-10
11,6.735313e-14,1.0,4.2028304e-12
12,6.88136e-14,1.0,2.468164e-12
13,3.3567742e-13,1.0,8.290308e-12
14,6.239543e-13,1.0,1.444115e-11
15,1.1477501e-12,1.0,2.1197277e-11
16,2.7411216e-12,1.0,4.6729835e-11
17,2.8379363e-12,1.0,4.542179e-11
18,1.0519986e-11,1.0,1.4630823e-10
19,1.0,9.3129854e-10,9.1033253e-10
20,4.865956e-09,1.0,6.3435923e-10
21,6.597892e-13,1.419909e-09,1.0
22,6.6119805e-12,1.0,9.393187e-11
23,5.0296117e-12,1.0,6.936599e-11
24,1.0,1.5123619e-09,1.724025e-09
25,4.738337e-09,1.0,5.938795e-10
26,2.0329718e-09,1.0,2.378729e-10
27,4.5219304e-09,1.0,6.5908967e-10
28,3.6324334e-13,1.3583307e-09,1.0
29,1.0,2.308507e-08,3.500112e-10
30,3.298061e-11,1.0,3.0932505e-12
31,1.5524061e-11,1.0,1.4458891e-12
32,2.6616478e-10,1.0,3.83147e-11
33,7.9627804e-10,1.0,1.4033016e-10
34,6.532413e-10,1.0,1.1189825e-10
35,4.930604e-10,1.0,8.058146e-11
36,1.3154546e-13,6.247329e-10,1.0
37,1.0,3.05625e-09,6.462739e-10
38,9.603796e-13,4.655842e-10,1.0
39,5.222967e-13,1.0,1.8406257e-11
40,1.2834985e-12,1.0,3.5645584e-11
41,3.652109e-12,1.0,8.315651e-11
42,7.2539214e-12,1.0,1.4701035e-10
43,0.9999999,8.196225e-08,3.2501032e-10
44,5.957727e-11,1.0,6.0850873e-12
45,4.0110443e-11,1.0,4.4663865e-12
46,1.1021256e-22,1.0,1.3933648e-24
47,8.082017e-15,1.0,6.8997133e-16
48,8.414623e-14,9.349181e-11,1.0
49,1.5343449e-13,1.0,7.99097e-11
50,1.9523337e-15,1.0,8.3544494e-13
51,0.999966,3.39313e-05,1.0142045e-09
52,1.3572442e-11,1.0,1.2753145e-11
53,6.927518e-14,5.239182e-09,1.0
54,0.9999678,3.2183616e-05,2.465966e-09
55,3.0463205e-13,6.9091705e-08,0.9999999
56,2.7123024e-17,1.0,2.310535e-14
57,6.367547e-17,1.0,3.1936845e-14
58,3.1368942e-17,1.0,9.4483315e-15
59,1.8773179e-16,1.0,3.2229715e-14
