Date,Close,Open,High,Volume,Low,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,k-d,hist_adj,Stoch_Signal,MACD_Signal,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Period Returns,Portfolio Cumulative Returns,value
2021-04-19 15:30:00-04:00,415.239990234375,414.3250122070313,415.3399963378906,14176944,414.1400146484375,25.9303428046581,22.10315866753544,0.6213155273793518,-0.5209585020005962,1.142274029379948,3.8271841371226607,0.0716742710538194,1.0,1.0,1,1.0,100,100.0,41523.9990234375,58476.0009765625,100000.0,,,41523.9990234375
2021-04-20 09:30:00-04:00,413.9200134277344,413.9100036621094,414.6799926757813,11437142,413.6600036621094,18.099063347923778,21.674862180766393,0.46305317647278343,-0.5433766823257318,1.0064298587985152,-3.575798832842615,-0.02241818032513554,0.0,0.0,0,-1.0,0,-100.0,0.0,99868.00231933594,99868.00231933594,-0.0013199768066406437,-0.0013199768066406437,-41392.00134277344
2021-04-20 10:30:00-04:00,411.5750122070313,413.9209899902344,413.9299926757813,17431474,411.1199951171875,16.004307686852332,20.011237946478072,0.14671587338193604,-0.6877711883332635,0.8344870617151995,-4.00693025962574,-0.14439450600753168,0.0,0.0,0,0.0,0,0.0,0.0,99868.00231933594,99868.00231933594,0.0,-0.0013199768066406437,0.0
2021-04-20 11:30:00-04:00,412.1449890136719,411.5750122070313,412.3999938964844,10103321,410.6199951171875,11.246036665010871,15.116469233262329,-0.05733048347724434,-0.7134540361539551,0.6561235526767107,-3.8704325682514575,-0.025682847820691634,0.0,0.0,0,0.0,0,0.0,0.0,99868.00231933594,99868.00231933594,0.0,-0.0013199768066406437,0.0
2021-04-20 12:30:00-04:00,411.2900085449219,412.1499938964844,412.2200012207031,5748608,411.25,12.270359577111686,13.173567976324962,-0.2847460940965334,-0.7526957174185953,0.4679496233220619,-0.9032083992132769,-0.03924168126464023,0.0,0.0,0,0.0,0,0.0,0.0,99868.00231933594,99868.00231933594,0.0,-0.0013199768066406437,0.0
2021-04-20 13:30:00-04:00,411.5350036621094,411.3096923828125,412.1000061035156,5744918,411.2000122070313,14.220449125568452,12.578948455897004,-0.44013197803570847,-0.7264652810862163,0.28633330305050786,1.6415006696714478,0.02623043633237898,1.0,1.0,1,1.0,100,100.0,41153.50036621094,58714.501953125,99868.00231933594,0.0,-0.0013199768066406437,41153.50036621094
2021-04-20 14:30:00-04:00,411.9049987792969,411.4299926757813,412.0199890136719,8414075,410.5899963378906,13.235628219285736,13.242145640655293,-0.5273420261551109,-0.6509402633644951,0.12359823720938412,-0.006517421369556686,0.07552501772172127,0.0,1.0,0,-1.0,0,-100.0,0.0,99905.00183105469,99905.00183105469,0.00037048414766971405,-0.0009499816894530388,-41190.49987792969
2021-04-20 15:30:00-04:00,412.239990234375,411.9049987792969,412.6700134277344,13401855,411.7999877929688,19.115078252751612,15.523718532535264,-0.5629364261152432,-0.5492277306597019,-0.013708695455541348,3.5913597202163476,0.10171253270479319,1.0,1.0,1,1.0,100,100.0,41223.9990234375,58681.00280761719,99905.00183105469,0.0,-0.0009499816894530388,41223.9990234375
2021-04-21 09:30:00-04:00,413.989990234375,411.510009765625,414.1000061035156,13284960,411.3599853515625,35.63132261299629,22.660676361677883,-0.44480740698304544,-0.3448789692220033,-0.09992843776104217,12.97064625131841,0.2043487614376986,1.0,1.0,1,0.0,100,0.0,41398.9990234375,58681.00280761719,100080.00183105469,0.0017516640487724722,0.0008000183105469905,0.0
2021-04-21 10:30:00-04:00,414.2049865722656,413.9801025390625,414.3399963378906,7593585,413.4299926757813,53.36348575913505,36.03662887496099,-0.33003644587120107,-0.18408640648812713,-0.14595003938307394,17.326856884174063,0.16079256273387615,1.0,1.0,1,0.0,100,0.0,41420.49865722656,58681.00280761719,100101.50146484375,0.0002148244743775951,0.0010150146484375622,0.0
2021-04-21 11:30:00-04:00,414.5249938964844,414.2000122070313,414.9299926757813,6764712,414.1600036621094,72.03443848920045,53.676415620443926,-0.2108274283003766,-0.05190191113384213,-0.15892551716653447,18.358022868756528,0.132184495354285,1.0,1.0,1,0.0,100,0.0,41452.49938964844,58681.00280761719,100133.50219726562,0.00031968284145178494,0.0013350219726562251,0.0
2021-04-21 12:30:00-04:00,414.7009887695313,414.5201110839844,414.9400024414063,4184434,414.3609924316406,80.18341621424389,68.52711348752648,-0.10098798103405215,0.04635002890598586,-0.147338009940038,11.656302726717414,0.09825194003982798,1.0,1.0,1,0.0,100,0.0,41470.09887695313,58681.00280761719,100151.10168457031,0.00017576022927889845,0.0015110168457030948,0.0
2021-04-21 13:30:00-04:00,414.9450073242188,414.7099914550781,415.260009765625,4522468,414.7049865722656,87.02456825657976,79.74747432000804,0.005685293762553556,0.12241864296207325,-0.11673334919951969,7.277093936571717,0.07606861405608739,1.0,1.0,1,0.0,100,0.0,41494.50073242188,58681.00280761719,100175.50354003906,0.00024365039483642548,0.00175503540039057,0.0
2021-04-21 14:30:00-04:00,415.1300048828125,414.9450073242188,415.239990234375,5608020,414.760009765625,91.27025938870695,86.15941461984353,0.10395407163912296,0.17654993667091412,-0.07259586503179116,5.110844768863416,0.05413129370884087,1.0,1.0,1,0.0,100,0.0,41513.00048828125,58681.00280761719,100194.00329589844,0.00018467345015116265,0.0019400329589842613,0.0
2021-04-21 15:30:00-04:00,416.0799865722656,415.135009765625,416.2900085449219,13950405,415.135009765625,94.52632698609732,90.940384877128,0.2555426327052146,0.2625107981896046,-0.006968165484390013,3.58594210896932,0.08596086151869048,1.0,1.0,1,0.0,100,0.0,41607.99865722656,58681.00280761719,100289.00146484375,0.000948142262214624,0.002890014648437411,0.0
2021-04-22 09:30:00-04:00,415.3299865722656,415.7099914550781,415.760009765625,11624988,414.5350036621094,91.68402815401333,92.49353817627252,0.3115673727688204,0.2548284306025683,0.056738942166252075,-0.8095100222591896,-0.007682367587036276,0.0,0.0,0,-1.0,0,-100.0,0.0,100214.00146484375,100214.00146484375,-0.0007478387351008697,0.0021400146484373828,-41532.99865722656
2021-04-22 10:30:00-04:00,415.8900146484375,415.3299865722656,416.2598876953125,6177209,415.2900085449219,90.81851181616678,92.34295565209247,0.39658537892046297,0.2718771494033687,0.12470822951709426,-1.5244438359256947,0.01704871880080039,0.0,1.0,0,0.0,0,0.0,0.0,100214.00146484375,100214.00146484375,0.0,0.0021400146484373828,0.0
2021-04-22 11:30:00-04:00,416.3599853515625,415.8800048828125,416.4500122070313,6603046,415.7099914550781,91.53461108919147,91.34571701979053,0.49616597682228303,0.297166197844151,0.19899977897813204,0.1888940694009449,0.02528904844078228,1.0,1.0,1,1.0,100,100.0,41635.99853515625,58578.0029296875,100214.00146484375,0.0,0.0021400146484373828,41635.99853515625
