Date,Close,Open,High,Volume,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,hist_adj,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Period Returns,Portfolio Cumulative Returns,value
2021-04-19 15:30:00-04:00,415.239990234375,414.3250122070313,415.3399963378906,14176944,414.1400146484375,0.6213155273793518,-0.5209585020005962,1.142274029379948,0.0716742710538194,1.0,1.0,1.0,1.0,415.239990234375,99584.76000976562,100000.0,,,415.239990234375
2021-04-20 09:30:00-04:00,413.9200134277344,413.9100036621094,414.6799926757813,11437142,413.6600036621094,0.46305317647278343,-0.5433766823257318,1.0064298587985152,-0.02241818032513554,0.0,-1.0,0.0,-1.0,0.0,99998.68002319336,99998.68002319336,-1.3199768066352036e-05,-1.3199768066352036e-05,-413.9200134277344
2021-04-20 10:30:00-04:00,411.5750122070313,413.9209899902344,413.9299926757813,17431474,411.1199951171875,0.14671587338193604,-0.6877711883332635,0.8344870617151995,-0.14439450600753168,0.0,0.0,0.0,0.0,0.0,99998.68002319336,99998.68002319336,0.0,-1.3199768066352036e-05,0.0
2021-04-20 11:30:00-04:00,412.1449890136719,411.5750122070313,412.3999938964844,10103321,410.6199951171875,-0.05733048347724434,-0.7134540361539551,0.6561235526767107,-0.025682847820691634,0.0,0.0,0.0,0.0,0.0,99998.68002319336,99998.68002319336,0.0,-1.3199768066352036e-05,0.0
2021-04-20 12:30:00-04:00,411.2900085449219,412.1499938964844,412.2200012207031,5748608,411.25,-0.2847460940965334,-0.7526957174185953,0.4679496233220619,-0.03924168126464023,0.0,0.0,0.0,0.0,0.0,99998.68002319336,99998.68002319336,0.0,-1.3199768066352036e-05,0.0
2021-04-20 13:30:00-04:00,411.5350036621094,411.3096923828125,412.1000061035156,5744918,411.2000122070313,-0.44013197803570847,-0.7264652810862163,0.28633330305050786,0.02623043633237898,1.0,1.0,1.0,1.0,411.5350036621094,99587.14501953125,99998.68002319336,0.0,-1.3199768066352036e-05,411.5350036621094
2021-04-20 14:30:00-04:00,411.9049987792969,411.4299926757813,412.0199890136719,8414075,410.5899963378906,-0.5273420261551109,-0.6509402633644951,0.12359823720938412,0.07552501772172127,1.0,0.0,1.0,0.0,411.9049987792969,99587.14501953125,99999.05001831055,3.7000000110420928e-06,-9.499816894464885e-06,0.0
2021-04-20 15:30:00-04:00,412.239990234375,411.9049987792969,412.6700134277344,13401855,411.7999877929688,-0.5629364261152432,-0.5492277306597019,-0.013708695455541348,0.10171253270479319,1.0,0.0,1.0,0.0,412.239990234375,99587.14501953125,99999.38500976562,3.3499463747421743e-06,-6.149902343599578e-06,0.0
2021-04-21 09:30:00-04:00,413.989990234375,411.510009765625,414.1000061035156,13284960,411.3599853515625,-0.44480740698304544,-0.3448789692220033,-0.09992843776104217,0.2043487614376986,1.0,0.0,1.0,0.0,413.989990234375,99587.14501953125,100001.13500976562,1.7500107623913408e-05,1.1350097656404046e-05,0.0
2021-04-21 10:30:00-04:00,414.2049865722656,413.9801025390625,414.3399963378906,7593585,413.4299926757813,-0.33003644587120107,-0.18408640648812713,-0.14595003938307394,0.16079256273387615,1.0,0.0,1.0,0.0,414.2049865722656,99587.14501953125,100001.35000610352,2.149938976847565e-06,1.3500061035287558e-05,0.0
2021-04-21 11:30:00-04:00,414.5249938964844,414.2000122070313,414.9299926757813,6764712,414.1600036621094,-0.2108274283003766,-0.05190191113384213,-0.15892551716653447,0.132184495354285,1.0,0.0,1.0,0.0,414.5249938964844,99587.14501953125,100001.67001342773,3.2000300416168415e-06,1.6700134277458645e-05,0.0
2021-04-21 12:30:00-04:00,414.7009887695313,414.5201110839844,414.9400024414063,4184434,414.3609924316406,-0.10098798103405215,0.04635002890598586,-0.147338009940038,0.09825194003982798,1.0,0.0,1.0,0.0,414.7009887695313,99587.14501953125,100001.84600830078,1.7599193395945179e-06,1.8460083007987294e-05,0.0
2021-04-21 13:30:00-04:00,414.9450073242188,414.7099914550781,415.260009765625,4522468,414.7049865722656,0.005685293762553556,0.12241864296207325,-0.11673334919951969,0.07606861405608739,1.0,0.0,1.0,0.0,414.9450073242188,99587.14501953125,100002.09002685547,2.4401405016583055e-06,2.0900268554946422e-05,0.0
2021-04-21 14:30:00-04:00,415.1300048828125,414.9450073242188,415.239990234375,5608020,414.760009765625,0.10395407163912296,0.17654993667091412,-0.07259586503179116,0.05413129370884087,1.0,0.0,1.0,0.0,415.1300048828125,99587.14501953125,100002.27502441406,1.8499369216495865e-06,2.2750244140778975e-05,0.0
2021-04-21 15:30:00-04:00,416.0799865722656,415.135009765625,416.2900085449219,13950405,415.135009765625,0.2555426327052146,0.2625107981896046,-0.006968165484390013,0.08596086151869048,1.0,0.0,1.0,0.0,416.0799865722656,99587.14501953125,100003.22500610352,9.499600776230466e-06,3.225006103524386e-05,0.0
2021-04-22 09:30:00-04:00,415.3299865722656,415.7099914550781,415.760009765625,11624988,414.5350036621094,0.3115673727688204,0.2548284306025683,0.056738942166252075,-0.007682367587036276,0.0,-1.0,0.0,-1.0,0.0,100002.47500610352,100002.47500610352,-7.499758132301082e-06,2.4750061035305748e-05,-415.3299865722656
2021-04-22 10:30:00-04:00,415.8900146484375,415.3299865722656,416.2598876953125,6177209,415.2900085449219,0.39658537892046297,0.2718771494033687,0.12470822951709426,0.01704871880080039,1.0,1.0,1.0,1.0,415.8900146484375,99586.58499145508,100002.47500610352,0.0,2.4750061035305748e-05,415.8900146484375
