Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
2020-05-27,294.8590393066406,293.4893153027516,294.89790492508746,288.38929236404545,4.620964823679913,1.3190557032146444,3.301909120465268,,buy,-29485.903930664062,100.0
2020-05-28,294.3150329589844,295.9470331496014,298.0744736160692,293.6058762549018,4.971238552971499,1.3354635460049846,3.6357750069665147,0.0,hold,,100.0
2020-05-29,295.62646484375,293.8195842486089,296.24816647889907,290.91500938783116,5.29363289518443,1.326286310574332,3.967346584610098,0.0,hold,,100.0
2020-06-01,296.8212890625,294.9464308173911,297.4624382871762,294.4024308047769,5.581208367129818,1.291089426015776,4.290118941114042,0.0,hold,,100.0
2020-06-02,299.279052734375,297.7927614940795,299.3276421697564,296.3842014920817,5.938974190858971,1.3190841997959426,4.619889991063029,0.0,hold,,100.0
2020-06-03,303.26190185546875,301.3773197432636,304.27220032647455,301.08590174478985,6.469314590154454,1.47953967927314,4.989774910881314,0.0,hold,,100.0
2020-06-04,302.4653625488281,302.22250430051525,304.05852688773615,300.2504965100459,6.747557470096581,1.406226047372213,5.341331422724368,0.0,hold,,100.0
2020-06-05,310.21734619140625,308.1676372173638,312.092204376775,308.0996298065097,7.507050644158994,1.7325753771477004,5.774475267011294,0.0,hold,,100.0
2020-06-08,313.9670715332031,311.0721913129793,314.17106410655623,310.49904955732814,8.315668108149964,2.0329542729109358,6.282713835239028,0.0,hold,,100.0
2020-06-09,311.6259460449219,311.149923798775,314.0448043065908,310.23677456630213,8.66767841154899,1.90797166104797,6.759706750501021,0.0,hold,,100.0
2020-06-10,309.8871154785156,312.2379962952551,313.1802874560523,309.12939895251856,8.705982867187572,1.5570208933492404,7.148961973838332,0.0,hold,,100.0
2020-06-11,292.0224304199219,302.56248333504425,303.23277440903996,291.43959439538605,7.211676919014508,0.05017195614094039,7.161504962873567,0.0,hold,,100.0
