Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-04-19 15:30:00-04:00,415.239990234375,414.32501220703125,415.3399963378906,414.1400146484375,0.6478626308766025,-0.5492106971358528,1.1970733280124553,2.0,buy,-41523.9990234375,100.0,100.0,41523.9990234375
2021-04-20 09:30:00-04:00,413.9200134277344,413.9100036621094,414.67999267578125,413.6600036621094,0.4874089331426035,-0.5677315158958813,1.0551404490384848,0.0,hold,,,100.0,
2021-04-20 10:30:00-04:00,411.57501220703125,413.9209899902344,413.92999267578125,411.1199951171875,0.1690772043987181,-0.7088505957118134,0.8779278001105315,0.0,hold,,,100.0,
2021-04-20 11:30:00-04:00,412.1449890136719,411.57501220703125,412.3999938964844,410.6199951171875,-0.036786566644707364,-0.7317714934041911,0.6949849267594838,0.0,hold,,,100.0,
2021-04-20 12:30:00-04:00,411.2900085449219,412.1499938964844,412.2200012207031,411.25,-0.265860195976245,-0.768676098188583,0.502815902212338,0.0,hold,,,100.0,
2021-04-20 13:30:00-04:00,411.5350036621094,411.3096923828125,412.1000061035156,411.20001220703125,-0.422760321335204,-0.7404609788380336,0.31770065750282955,0.0,hold,,,100.0,
2021-04-20 14:30:00-04:00,411.9049987792969,411.42999267578125,412.0199890136719,410.5899963378906,-0.5113547085350092,-0.663244292830271,0.15188958429526178,0.0,hold,,,100.0,
2021-04-20 15:30:00-04:00,412.239990234375,411.9049987792969,412.6700134277344,411.79998779296875,-0.5482158962946073,-0.5600843844718952,0.011868488177287959,0.0,hold,,,100.0,
2021-04-21 09:30:00-04:00,413.989990234375,411.510009765625,414.1000061035156,411.3599853515625,-0.4312471300517018,-0.35449249458319176,-0.07675463546851,0.0,hold,,,100.0,
2021-04-21 10:30:00-04:00,414.2049865722656,413.9801025390625,414.3399963378906,413.42999267578125,-0.3175397320517277,-0.19262807726657416,-0.12491165478515354,0.0,hold,,,100.0,
2021-04-21 11:30:00-04:00,414.5249938964844,414.20001220703125,414.92999267578125,414.1600036621094,-0.19930640311633852,-0.059515798664947966,-0.13979060445139055,0.0,hold,,,100.0,
2021-04-21 12:30:00-04:00,414.70098876953125,414.5201110839844,414.94000244140625,414.3609924316406,-0.09036267800240694,0.039542341159186895,-0.12990501916159383,2.0,buy,-41470.098876953125,100.0,200.0,41470.098876953125
2021-04-21 13:30:00-04:00,414.94500732421875,414.7099914550781,415.260009765625,414.7049865722656,0.015487734104738138,0.11631420261306559,-0.10082646850832745,0.0,hold,,,200.0,
2021-04-21 14:30:00-04:00,415.1300048828125,414.94500732421875,415.239990234375,414.760009765625,0.11300011026901302,0.17106126302187238,-0.058061152752859356,0.0,hold,,,200.0,
2021-04-21 15:30:00-04:00,416.0799865722656,415.135009765625,416.2900085449219,415.135009765625,0.26389296015162245,0.25756329032358544,0.006329669828037003,0.0,hold,,,200.0,
2021-04-22 09:30:00-04:00,415.3299865722656,415.7099914550781,415.760009765625,414.5350036621094,0.31927746692394976,0.2503582376767302,0.06891922924721955,0.0,hold,,,200.0,
2021-04-22 10:30:00-04:00,415.8900146484375,415.3299865722656,416.2598876953125,415.2900085449219,0.40370600147531377,0.2678294177824754,0.1358765836928384,0.0,hold,,,200.0,
2021-04-22 11:30:00-04:00,416.3599853515625,415.8800048828125,416.45001220703125,415.7099914550781,0.5027436159574563,0.2934936258116943,0.209249990145762,0.0,hold,,,200.0,
2021-04-22 12:30:00-04:00,414.70001220703125,416.3599853515625,416.7799987792969,413.1499938964844,0.44218840647562274,0.1863507330638886,0.25583767341173413,0.0,hold,,,200.0,
