Date,Close,Open,High,Low,STOCHk_14_3_3,STOCHd_14_3_3,stoch_diff,Stoch_Signal,Stoch_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-04-16 15:30:00-04:00,417.29998779296875,417.5050048828125,417.9100036621094,417.1000061035156,93.10863593377597,92.51432227321129,0.5943136605646799,1.0,,go long,-41729.998779296875,100.0,100.0,41729.998779296875
2021-04-19 09:30:00-04:00,415.7850036621094,416.3599853515625,416.739990234375,415.07000732421875,73.84543741520218,86.86218523713603,-13.016747821933848,-1.0,-2.0,sell_short,41578.50036621094,100.0,0.0,41578.50036621094
2021-04-19 10:30:00-04:00,415.6400146484375,415.7900085449219,416.06500244140625,414.3800048828125,52.8516322981593,73.26856854904581,-20.416936250886508,-1.0,0.0,hold,,,0.0,
2021-04-19 11:30:00-04:00,414.5299987792969,415.6400146484375,415.6700134277344,414.2300109863281,27.054034495677243,51.250368069679574,-24.19633357400233,-1.0,0.0,hold,,,0.0,
2021-04-19 12:30:00-04:00,414.6300048828125,414.5400085449219,414.94000244140625,413.7900085449219,21.411494399251243,33.7723870643626,-12.360892665111354,-1.0,0.0,hold,,,0.0,
2021-04-19 13:30:00-04:00,415.010009765625,414.6099853515625,415.0899963378906,414.3800048828125,19.383952808230916,22.616493901053133,-3.232541092822217,-1.0,0.0,hold,,,0.0,
2021-04-19 14:30:00-04:00,414.32501220703125,415.010009765625,415.19500732421875,414.2200012207031,20.99518038971685,20.596875865733,0.39830452398384963,1.0,2.0,go long,-41432.501220703125,100.0,100.0,41432.501220703125
2021-04-19 15:30:00-04:00,415.239990234375,414.32501220703125,415.3399963378906,414.1400146484375,25.93034280465764,22.103158667535137,3.8271841371225044,1.0,0.0,hold,,,100.0,
2021-04-20 09:30:00-04:00,413.9209899902344,414.0400085449219,414.67999267578125,413.6600036621094,18.106722661648806,21.6774152853411,-3.5706926236922953,-1.0,-2.0,sell_short,41392.09899902344,100.0,0.0,41392.09899902344
2021-04-20 10:30:00-04:00,411.57501220703125,413.9209899902344,413.92999267578125,411.1199951171875,16.011967000577545,20.016344155628,-4.004377155050456,-1.0,0.0,hold,,,0.0,
2021-04-20 11:30:00-04:00,412.1449890136719,411.57501220703125,412.3999938964844,410.6199951171875,11.253695978736083,15.124128546987478,-3.8704325682513954,-1.0,0.0,hold,,,0.0,
2021-04-20 12:30:00-04:00,411.2900085449219,412.1499938964844,412.2200012207031,411.25,12.270359577111407,13.178674185475012,-0.9083146083636056,-1.0,0.0,hold,,,0.0,
2021-04-20 13:30:00-04:00,411.5350036621094,411.3096923828125,412.1000061035156,411.20001220703125,14.220449125568452,12.58150156047198,1.6389475650964727,1.0,2.0,go long,-41153.50036621094,100.0,100.0,41153.50036621094
2021-04-20 14:30:00-04:00,411.9049987792969,411.42999267578125,412.0199890136719,410.5899963378906,13.235628219285736,13.242145640655197,-0.006517421369460763,-1.0,-2.0,sell_short,41190.49987792969,100.0,0.0,41190.49987792969
2021-04-20 15:30:00-04:00,412.239990234375,411.9049987792969,412.6700134277344,411.79998779296875,19.115078252751612,15.523718532535268,3.591359720216344,1.0,2.0,go long,-41223.9990234375,100.0,100.0,41223.9990234375
2021-04-21 09:30:00-04:00,413.9801025390625,411.510009765625,414.1000061035156,411.3599853515625,35.57112362188701,22.640610031308125,12.930513590578887,1.0,0.0,hold,,,100.0,
2021-04-21 10:30:00-04:00,414.2049865722656,413.9801025390625,414.3399963378906,413.42999267578125,53.30328676802577,35.996496214221466,17.306790553804305,1.0,0.0,hold,,,100.0,
2021-04-21 11:30:00-04:00,414.5249938964844,414.20001220703125,414.92999267578125,414.1600036621094,71.97423949809117,53.616216629334644,18.35802286875652,1.0,0.0,hold,,,100.0,
2021-04-21 12:30:00-04:00,414.70098876953125,414.5201110839844,414.94000244140625,414.3609924316406,80.1834162142435,68.4869808267868,11.696435387456688,1.0,0.0,hold,,,100.0,
