Date,Close,Open,High,Volume,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_Signal,RSI_Signal,Stoch_Signal,custom_signal,MACD_Entry/Exit,stoch_diff,Stoch_Entry/Exit
2021-04-14 15:00:00+00:00,63200.328125,63143.21875,63459.94921875,560734208,62603.3046875,352.43897803802247,-227.29607765153514,579.7350556895576,47.54961428994484,30.005739839385853,45.56907480091596,-1.0,0.0,-1.0,0,,-15.56333496153011,
2021-04-14 16:00:00+00:00,63636.90625,63171.0703125,63826.51953125,0,62987.6640625,316.19671607160853,-210.83067169435935,527.0273877659679,52.571302280561724,29.383467191299786,33.556674772480044,-1.0,0.0,-1.0,0,0.0,-4.173207581180257,0.0
2021-04-14 17:00:00+00:00,62808.37109375,63655.71875,63854.359375,0,62728.7578125,218.10442752444942,-247.13836819321477,465.2427957176642,43.967896929470015,27.07757497604466,28.8222606689101,-1.0,0.0,-1.0,0,0.0,-1.744685692865442,0.0
2021-04-14 18:00:00+00:00,62198.37890625,62545.9375,62730.66015625,623951872,61868.546875,90.10562891884183,-300.1097334390579,390.2153623578997,38.91812695773286,21.942582051206035,26.13454140618349,-1.0,0.0,-1.0,0,0.0,-4.191959354977456,0.0
2021-04-14 19:00:00+00:00,62244.95703125,62217.37109375,62557.453125,1172676608,61554.796875,-7.489540973510884,-318.1639226651285,310.6743816916176,39.489616412560295,13.650147731822022,20.89010158635757,-1.0,0.0,-1.0,0,0.0,-7.239953854535548,0.0
2021-04-14 20:00:00+00:00,62485.046875,62266.15234375,62549.26171875,488300544,62022.703125,-64.71517610599403,-300.31164623808934,235.59647013209528,42.47714963495312,19.99818056494858,18.530303449325547,-1.0,0.0,1.0,0,0.0,1.4678771156230326,2.0
2021-04-14 21:00:00+00:00,62984.21484375,62537.1953125,62984.21484375,854417408,62537.1953125,-68.99291351912689,-243.67150692097772,174.67859340185083,48.20305999576338,30.72904920742687,21.45912583473249,-1.0,0.0,1.0,0,0.0,9.269923372694379,0.0
2021-04-14 22:00:00+00:00,62968.20703125,62962.67578125,63120.015625,477200384,62774.22265625,-72.83514965740324,-198.01099444740325,125.17584479000001,48.037917712964635,38.01627456189549,29.581168111423647,-1.0,0.0,1.0,0,0.0,8.435106450471846,0.0
2021-04-15 00:00:00+00:00,62979.82421875,63075.1953125,63419.79296875,32145408,62979.82421875,-74.08869122263422,-159.4116288101074,85.32293758747316,48.176677180345045,43.00148576713798,37.24893651215345,-1.0,0.0,1.0,0,0.0,5.75254925498453,0.0
2021-04-15 01:00:00+00:00,62897.96875,62936.7265625,63285.35546875,0,62786.26953125,-80.7562760959845,-132.86337094676614,52.107094850781635,47.21985310602598,42.13249894225188,41.05008642376178,-1.0,0.0,1.0,0,0.0,1.082412518490095,0.0
